Quarter,Open,Close,Nifty net sales,Nifty net profit,TCS net sales ,TCS net profit,Infosys net sales,Infosys net profit,HCL net sales,HCL net profit,Nifty change_profit,Nifty change_close,Nifty label,TCS change_profit,Infosys change_profit,HCL change_profit,Nifty change_sales,TCS change_sales,Infosys change_sales,HCL change_sales,Last_close
Dec-19,15307.55,15299,28784782.9,2431.08,33040,7683,20064,4076,8654,2444,24.83,-1.88,-1,-11.04,6.45,9.5,16.86,2.02,2.02,6.45,15592.9
Mar-20,15328.56,15325.14,29862136.97,2300.19,33222,8227,20187,4069,9057,2500,-5.38,0.17,1,7.08,-0.17,2.29,3.74,0.55,0.61,4.66,15299
Jun-20,13694.98,13698.38,39410404.29,2566.21,31624,6096,20325,4008,8362,2360,11.57,-10.61,-1,-25.9,-1.5,-5.6,31.97,-4.81,0.68,-7.67,15325.14
Sep-20,17850.21,17877.89,50140073.59,4113.54,33365,7448,21046,4497,8658,2530,60.3,30.51,1,22.18,12.2,7.2,27.23,5.51,3.55,3.54,13698.38
Dec-20,21999.53,21998.7,48282520.54,4949.89,34957,9242,22043,5083,9404,3397,20.33,23.05,1,24.09,13.03,34.27,-3.7,4.77,4.74,8.62,17877.89
Mar-21,25743.05,25696.1,41684613.57,4904.45,36017,8174,22497,4459,9249,456,-0.92,16.81,1,-11.56,-12.28,-86.58,-13.67,3.03,2.06,-1.65,21998.7
Jun-21,26905.37,26900.49,33424046.44,4011.19,37722,8281,23714,4723,9556,2672,-18.21,4.69,1,1.31,5.92,485.96,-19.82,4.73,5.41,3.32,25696.1
Sep-21,32471.92,32507.43,27252498.1,4501.63,39315,10152,25462,5463,9786,2562,12.23,20.84,1,22.59,15.67,-4.12,-18.46,4.22,7.37,2.41,26900.49
Dec-21,35969.71,35948.75,26592178.17,4920.56,40845,9959,27337,5870,10662,2637,9.31,10.59,1,-1.9,7.45,2.93,-2.42,3.89,7.36,8.95,32507.43
Mar-22,35783.3,35740.82,28586669.61,4942.81,42459,9795,27426,5177,10634,3003,0.45,-0.58,-1,-1.65,-11.81,13.88,7.5,3.95,0.33,-0.26,35948.75
Jun-22,30571.86,30447.11,26651880.15,4008.9,44480,8588,29527,4901,10817,2678,-18.89,-14.81,-1,-12.32,-5.33,-10.82,-6.77,4.76,7.66,1.72,35740.82
Sep-22,28234.6,28199.92,24481001.51,3386.25,46819,10059,31567,6253,11424,2741,-15.53,-7.38,-1,17.13,27.59,2.35,-8.15,5.26,6.91,5.61,30447.11
Dec-22,28993.14,28989.35,20046461.66,2768.74,49275,10659,32389,6210,12398,3196,-18.24,2.8,1,5.96,-0.69,16.6,-18.11,5.25,2.6,8.53,28199.92
Mar-23,29589.43,29559.63,19952011.82,3110.8,49780,9800,30531,5904,11637,2844,12.35,1.97,1,-8.06,-4.93,-11.01,-0.47,1.02,-5.74,-6.14,28989.35
Jun-23,28387.56,28385.92,20804015.4,3013.71,49862,10484,31811,5956,11451,2596,-3.12,-3.97,-1,6.98,0.88,-8.72,4.27,0.16,4.19,-1.6,29559.63
Sep-23,31067.18,31093.82,22207173.46,3581.83,50165,10929,32629,6245,12059,2966,18.85,9.54,1,4.24,4.85,14.25,6.74,0.61,2.57,5.31,28385.92
Dec-23,32413.59,32443.52,20032548.92,3316.74,50844,10753,32491,6552,12531,3349,-7.4,4.34,1,-1.61,4.92,12.91,-9.79,1.35,-0.42,3.91,31093.82
Mar-24,36814.98,36754.35,24492101.31,4178.63,51488,11393,32001,8480,12077,2763,25.99,13.29,1,5.95,29.43,-17.5,22.26,1.27,-1.51,-3.62,32443.52
Jun-24,34093.1,34057.52,28651905.66,4639.95,52844,12115,33283,5768,11784,2479,11.04,-7.34,-1,6.34,-31.98,-10.28,16.98,2.63,4.01,-2.43,36754.35
