Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
27-APR-2018,14015.7,14070.35,13766.75,13794.9,22682936.0,2267.64
30-APR-2018,13818.85,14094.1,13810.55,13986.25,21148573.0,1912.65
02-MAY-2018,13985.55,13985.55,13723.65,13754.3,26021447.0,2474.53
03-MAY-2018,13759.45,13759.45,13430.75,13473.95,32450229.0,2758.85
04-MAY-2018,13488.75,13488.8,13302.9,13453.3,25701676.0,2068.81
07-MAY-2018,13533.55,13563.85,13395.85,13424.9,17512282.0,1590.51
08-MAY-2018,13453.95,13474.25,13297.2,13379.65,20143939.0,1713.36
09-MAY-2018,13397.85,13538.4,13390.9,13453.4,17101073.0,1434.13
10-MAY-2018,13505.25,13566.05,13403.3,13427.3,20768761.0,1720.44
11-MAY-2018,13457.9,13519.15,13393.3,13478.6,16533584.0,1344.64
14-MAY-2018,13480.1,13495.5,13358.2,13446.1,14878656.0,1248.17
15-MAY-2018,13441.55,13614.65,13419.7,13504.95,16608752.0,1433.69
16-MAY-2018,13474.05,13585.15,13466.6,13525.6,15787652.0,1222.63
17-MAY-2018,13606.65,13625.5,13461.05,13504.75,18503069.0,1663.39
18-MAY-2018,13487.35,13526.95,13412.85,13459.15,21814306.0,1564.34
21-MAY-2018,13485.45,13572.15,13434.1,13483.85,19933398.0,1872.37
22-MAY-2018,13453.8,13530.55,13420.1,13484.55,14848732.0,1221.86
23-MAY-2018,13517.3,13615.4,13435.5,13464.35,23511265.0,1751.62
24-MAY-2018,13563.65,13797.95,13543.65,13775.65,30126284.0,2363.33
25-MAY-2018,13854.1,13963.7,13715.5,13762.3,22081327.0,2045.47
28-MAY-2018,13832.95,13832.95,13457.6,13497.7,24037272.0,2027.14
29-MAY-2018,13535.45,13631.3,13482.05,13561.05,17626079.0,1482.97
30-MAY-2018,13548.85,13627.05,13480.55,13557.7,20572865.0,1777.45
31-MAY-2018,13515.35,13695.3,13460.7,13666.0,41085827.0,3479.7
01-JUN-2018,13694.25,13785.35,13528.65,13558.55,21876620.0,1444.9
04-JUN-2018,13592.4,13646.55,13525.2,13595.1,19040022.0,1166.84
05-JUN-2018,13625.65,13638.75,13363.4,13408.9,24012688.0,1553.97
06-JUN-2018,13460.6,13554.25,13355.2,13528.8,23453120.0,1408.87
07-JUN-2018,13530.55,13714.2,13525.35,13683.75,24954697.0,1523.2
08-JUN-2018,13677.8,13841.65,13674.35,13769.8,26002064.0,1775.96
11-JUN-2018,13807.5,13869.55,13755.5,13775.1,24377768.0,1541.12
12-JUN-2018,13817.7,13889.45,13771.35,13859.85,27672172.0,2257.61
13-JUN-2018,14001.2,14074.9,13950.15,14034.15,26890892.0,2082.19
14-JUN-2018,13980.55,13984.75,13784.35,13825.4,31330506.0,2230.71
15-JUN-2018,13868.5,14151.75,13841.6,14121.5,45008343.0,4108.11
18-JUN-2018,14223.35,14223.35,13995.9,14024.2,29064786.0,2037.28
19-JUN-2018,13987.6,14028.7,13835.7,13849.45,32753588.0,1938.64
20-JUN-2018,13900.85,13914.95,13782.15,13810.9,24277411.0,1688.17
21-JUN-2018,13856.1,13882.4,13751.6,13771.7,30152844.0,1742.56
22-JUN-2018,13792.85,13844.0,13724.15,13777.05,17748643.0,1378.81
25-JUN-2018,13814.0,13918.05,13791.0,13865.2,18404657.0,1565.3
26-JUN-2018,13862.7,13981.15,13848.8,13943.5,25183925.0,1971.52
27-JUN-2018,14005.65,14143.3,13966.35,14018.4,29335023.0,2375.36
28-JUN-2018,14070.9,14139.65,13853.1,13873.8,42213864.0,3313.18
29-JUN-2018,13959.15,14020.75,13858.7,13989.5,33055615.0,2662.6
02-JUL-2018,14024.6,14086.8,13977.9,14072.3,23453334.0,1590.62
03-JUL-2018,14100.8,14238.9,14074.85,14222.55,24801569.0,1926.6
04-JUL-2018,14243.8,14243.95,14099.25,14126.15,21290467.0,1468.69
05-JUL-2018,14180.3,14184.45,13898.9,13970.5,27464167.0,2294.58
06-JUL-2018,14008.15,14063.25,13925.55,14015.9,26441281.0,2313.61
09-JUL-2018,14111.85,14141.15,13993.6,14108.85,23350288.0,2269.13
10-JUL-2018,14275.1,14299.5,14174.6,14222.75,33207897.0,2724.75
11-JUL-2018,14352.15,14629.5,14337.55,14536.45,56831080.0,6990.42
12-JUL-2018,14611.45,14627.8,14437.65,14515.65,36396847.0,3568.53
13-JUL-2018,14559.15,14654.55,14462.95,14534.9,42977674.0,3651.62
16-JUL-2018,14554.25,14776.0,14443.0,14617.05,36466840.0,3748.47
17-JUL-2018,14609.55,14709.6,14539.6,14618.25,26569892.0,2309.03
18-JUL-2018,14695.65,14762.3,14568.55,14631.65,22265892.0,1848.33
19-JUL-2018,14638.1,14693.45,14420.0,14489.85,29547548.0,2477.3
20-JUL-2018,14541.35,14771.05,14518.5,14701.4,37513621.0,2593.28
23-JUL-2018,14726.7,14726.7,14571.6,14683.2,33488923.0,2048.31
24-JUL-2018,14768.85,14768.9,14620.95,14663.9,22853710.0,1737.72
25-JUL-2018,14697.85,14697.85,14539.25,14575.35,27876290.0,2341.01
26-JUL-2018,14510.6,14559.5,14423.75,14468.1,49322705.0,2954.46
27-JUL-2018,14476.45,14553.8,14450.15,14517.9,23611574.0,1725.13
30-JUL-2018,14538.9,14561.05,14391.15,14420.55,27095207.0,1756.96
31-JUL-2018,14432.6,14617.75,14386.8,14587.8,27251977.0,2225.01
01-AUG-2018,14618.65,14690.6,14586.55,14679.35,19238886.0,1587.76
02-AUG-2018,14689.1,14739.8,14541.35,14552.6,18037721.0,1376.21
03-AUG-2018,14632.35,14663.6,14588.95,14649.05,18568390.0,1232.93
06-AUG-2018,14694.7,14731.1,14572.9,14605.55,14956902.0,1234.73
07-AUG-2018,14660.1,14688.1,14588.55,14613.75,18375389.0,1382.92
08-AUG-2018,14650.6,14663.05,14534.6,14608.2,19261664.0,1237.29
09-AUG-2018,14660.55,14662.45,14588.95,14603.35,19685828.0,1439.49
10-AUG-2018,14661.9,14702.15,14568.3,14679.25,18078155.0,1548.04
13-AUG-2018,14697.7,14902.4,14683.0,14880.25,26331697.0,2430.21
14-AUG-2018,14927.4,15090.9,14872.95,15009.25,25441762.0,2272.47
